user_id,nickname,sex,sign,avatar,last_modify_ts,total_fans,total_liked,user_rank,is_official
5696642,Violet阿瑜,女,兴致派音乐剧分享者（偶尔自不量力地分享话剧），希望能给你一点帮助。,https://i2.hdslb.com/bfs/face/92a51c435222df584f34e2c027ca6894b897331e.jpg,1764389184269,9415,155884,6,-1
290738125,linlin的奇妙冒险,女,在上班,https://i1.hdslb.com/bfs/face/ad76c919a78667752fcaf1b93668e6e2b800e827.jpg,1764389184281,321832,2230363,6,0
382113925,wolfgangstark,保密,海龟生物医药博士Up主一枚，热爱祖国，关心时政，钻研养生，带大家增长知识，长生不老，共同享受繁荣盛世！,https://i1.hdslb.com/bfs/face/3718924f066c2503d33a5174a9c66a2ce41145c9.jpg,1764389184287,65,727,5,-1
291227900,白嵩,男,作家、纪录片导演 ,https://i2.hdslb.com/bfs/face/8ffe9444fc1a0105d93808cda4d8df4bf386b424.jpg,1764389184300,59445,215660,6,0
522288385,不眠之夜SleepNoMore,保密,上海文广演艺（集团）有限公司旗下浸入式戏剧《不眠之夜》，官方网站：www.sleepnomore.cn ,http://i1.hdslb.com/bfs/face/d234e71ebeb4e1dc8e2efb0df30147739f04f9ee.jpg,1764389184307,3801,2291,2,1
9738932,AmongTheCrowd,保密,【现生很忙 爱发什么发什么】坑底大只Whovian欢迎勾搭 生是麦金侬的魂死是麦金侬的鬼,https://i2.hdslb.com/bfs/face/d2e2ef9b9ff13e9826b78c094983077430ff5b78.jpg,1764389184314,1001,17651,6,-1
1340190821,崩坏星穹铁道,保密,愿此行，终抵群星。 ,https://i2.hdslb.com/bfs/face/c27e19b8861be105b9d80b6743756c35027ae736.jpg,1764389184321,11707739,127474472,6,1
25681710,Deimos碎片,保密,有缘即会重逢。,https://i0.hdslb.com/bfs/face/4e2d3b78a67120a37191b8dd123d674d0b887ed3.jpg,1764389184329,156,436,6,-1
517245807,马骝金,女,BiliBili现代舞UP主、一个长期失业的现代舞者！AWPlanet创办人、舞者、编舞、表演艺术工作者,https://i0.hdslb.com/bfs/face/893e88724d21be9c7c20c7151fe74a71dcffedc3.jpg,1764389184334,11318,31856,6,-1
3493082817366845,JLRS-jayfm,男,"商务&粉丝群+V：JLRS-jayfm
杰伦、游戏、影视、体育！一个都不能少！
音频设备以及和声音有关的一切，欢迎探讨！",https://i2.hdslb.com/bfs/face/0da24ae60a20f0f00855a534678864d095d0e900.jpg,1764389184339,2150454,29242915,6,0
40153516,肖邦邦_,保密,没有人比我更会积极地摆烂,https://i1.hdslb.com/bfs/face/e148888c7bf7b251b1297d971e49cdf2ef057888.jpg,1764389184344,51,578,5,-1
11382420,Mokiuuu_,女,记录日常。,http://i0.hdslb.com/bfs/face/066d5ca138f85543b8a31254cf4f0d1c18e350ed.jpg,1764389184348,100,2412,6,-1
382113925,wolfgangstark,保密,海龟生物医药博士Up主一枚，热爱祖国，关心时政，钻研养生，带大家增长知识，长生不老，共同享受繁荣盛世！,https://i1.hdslb.com/bfs/face/3718924f066c2503d33a5174a9c66a2ce41145c9.jpg,1764389184355,65,727,5,-1
74020042,甜M酱,女,多喝水，早睡觉，狐朋狗友，身外之物,http://i1.hdslb.com/bfs/face/0c8f25c6e6286229a7459d4c9289045550c77d41.jpg,1764389184360,68,938,5,-1
12518467,九帆姐,女,一个爱吃肉的女老板。新会茶坑人，新会陈皮一线产区，卖陈皮～,https://i1.hdslb.com/bfs/face/81bd5f5098918aa523c24efd7feb8ab1094e931f.jpg,1764389184364,577,4139,5,-1
235138302,人生有希望乜,保密,,https://i0.hdslb.com/bfs/face/5bb28ddfe5de609aed5433956c080e196b88c8f1.jpg,1764389184368,35,524,5,-1
179730601,无聊の雪花,保密,一个ACG爱好者，主要发一些自己喜欢的东西，如果喜欢的话，记得一键三连哦，让我们一起感受游戏的魅力。,https://i1.hdslb.com/bfs/face/e2bc0d7d6d30a96a8e179669ca7dda6d44059f21.jpg,1764389184371,184,3538,5,-1
1666890,兔子满山跑,男,,https://i0.hdslb.com/bfs/face/c37f70fa84dd191e7d0bda9a3e8ed46698fedbe9.jpg,1764389184375,35,759,6,-1
85367548,六六六一七,保密,这个人比神秘还神秘，写了也等于没写。,https://i1.hdslb.com/bfs/face/5e0a7d881ac0a1dd11550929d7a0d36429f0ed48.jpg,1764389184378,19,127,6,-1
25681710,Deimos碎片,保密,有缘即会重逢。,https://i0.hdslb.com/bfs/face/4e2d3b78a67120a37191b8dd123d674d0b887ed3.jpg,1764389184382,156,436,6,-1
8237763,阿张RayZhang,男,喜欢音乐的人、电子榨菜、搞笑博主，纯主观纯主观纯主观！商务合作请私信,https://i0.hdslb.com/bfs/face/e1adb940db16b1cf6f95e033f1bd6d9014d25e2c.jpg,1764391381321,1878071,18785981,6,0
11720288,KAKU叫我耶耶,女,微博@KAKU叫我耶耶 身高171脑洞很大笑点很歪的水瓶座,https://i2.hdslb.com/bfs/face/79634095bee9bfa77d0304b4bc650524f68f3220.jpg,1764391381348,919,505,6,-1
519910480,Calvin歌唱小教室,男,一位来自中国香港的声乐老师，用国粤双语教您唱歌的up主～,https://i1.hdslb.com/bfs/face/13d338b3e7cf972f3bf419f456d6b9510f208fa3.jpg,1764391381372,182387,873188,6,0
5696642,Violet阿瑜,女,兴致派音乐剧分享者（偶尔自不量力地分享话剧），希望能给你一点帮助。,https://i2.hdslb.com/bfs/face/92a51c435222df584f34e2c027ca6894b897331e.jpg,1764391381397,9415,155884,6,-1
1340190821,崩坏星穹铁道,保密,愿此行，终抵群星。 ,https://i2.hdslb.com/bfs/face/c27e19b8861be105b9d80b6743756c35027ae736.jpg,1764391381425,11707790,127475133,6,1
312728204,行舟莫问,保密,网易云舟莫问 为你分析流行好歌,https://i2.hdslb.com/bfs/face/685aa3fe7d9bf1823ab0b89124418549010e18fb.jpg,1764391381445,3435,27045,6,-1
517245807,马骝金,女,BiliBili现代舞UP主、一个长期失业的现代舞者！AWPlanet创办人、舞者、编舞、表演艺术工作者,https://i0.hdslb.com/bfs/face/893e88724d21be9c7c20c7151fe74a71dcffedc3.jpg,1764391381461,11318,31856,6,-1
333858703,JASON-张杰音乐馆,男,头顶着月光，跟你去流浪@张杰,https://i1.hdslb.com/bfs/face/48ef57639ab9a4c1099e9badc14a70d335226438.jpg,1764391381478,79496,1524231,6,-1
179730601,无聊の雪花,保密,一个ACG爱好者，主要发一些自己喜欢的东西，如果喜欢的话，记得一键三连哦，让我们一起感受游戏的魅力。,https://i1.hdslb.com/bfs/face/e2bc0d7d6d30a96a8e179669ca7dda6d44059f21.jpg,1764391381500,183,3538,5,-1
1842080828,张杰,男,你们说我是谁，我就是谁^_^,https://i2.hdslb.com/bfs/face/2f07c4a33b58089e6e644260da4679c7910351f3.jpg,1764391381514,913814,3798400,6,0
1038099653,allforTheresa,女,接约稿，详情请翻动态,https://i2.hdslb.com/bfs/face/ed2043ea858a4c9a6a0d96aebf2e5d56418f9a87.jpg,1764391381531,1293,13351,5,-1
3546756377741839,-祈安年,保密,,https://i1.hdslb.com/bfs/face/f72b25f6caa29c5d1302945b4df7f718ae51bcc7.jpg,1764391381545,404,55985,4,-1
1633254331,游戏虾乐乐解说,女,哈喽大家好我是乐儿姐姐呀,https://i1.hdslb.com/bfs/face/cdb4439f13237a540370abe426fe085a761480f2.jpg,1764391381562,86169,539514,6,-1
3494361505466947,暖腿叔叔阿南,保密,你们的气泡电音东北大汉回来辣！我要将欢愉填满整个世界！商务联系：zloj_9900 备注合作项目,https://i1.hdslb.com/bfs/face/64879fa3fb831087664a7af4704b8fc92a3052b8.jpg,1764391381579,49821,1548278,5,-1
24155516,兰旌音乐录音棚,保密,我们致力于作词、作曲、编曲、录音、混音、音像制品的制作、版权代理；声乐、钢琴、吉他、视唱练耳等音乐类教学。,https://i2.hdslb.com/bfs/face/d92432fc003cd63cf8be4ab52c12d57f308a5ee7.jpg,1764391381596,9489,176585,6,-1
3461563285506265,小孙在拍车,保密,（又名L1新疆大学站）拥抱可莉和整片新疆～,https://i1.hdslb.com/bfs/face/4415de2ea0943b5a1e50315f392164bf55cc3241.jpg,1764391381614,3244,29753,5,-1
450941386,晨兴Amory,男,崩坏星穹铁道、原神、绝区零三修，剧情迷，做歌曲直白版整活和混剪,https://i1.hdslb.com/bfs/face/a5feddba1197830f8f43127294d9722ea107eb0e.jpg,1764391381633,10845,484298,6,-1
382113925,wolfgangstark,保密,海龟生物医药博士Up主一枚，热爱祖国，关心时政，钻研养生，带大家增长知识，长生不老，共同享受繁荣盛世！,https://i1.hdslb.com/bfs/face/3718924f066c2503d33a5174a9c66a2ce41145c9.jpg,1764391381648,65,727,5,-1
8602766,PIKA啊秋,男,乐子人集合！,https://i2.hdslb.com/bfs/face/c4788a4e0853dc2f471e56fa99e096de46d53b25.gif,1764391381666,18441,1157697,6,-1
3546744788879784,声格CreSound,保密,我们搅拌声音｜混音母带、商务合作请加wx：CreSoundStudio（备注来历）,https://i0.hdslb.com/bfs/face/06bb91744c522dac0e76f0d6d4062ea6b5ac0bf6.jpg,1764391381681,331262,1415963,6,0
